geohash7,total_events,brake_count,accel_count,avg_speed,avg_lat,avg_lon,unique_dates,unique_journeys
dpxuj9,18863,9688,9175,26.23591475375099,42.89825733934057,-78.85441196236053,33,6763
dr8j22,22280,9661,12619,28.174773788151036,43.11301682930445,-78.73735036885572,33,8536
dpxuwq,21412,9590,11822,27.156377265085062,43.0133658433136,-78.82152157439735,35,9828
dpxum3,24869,9387,15482,22.560498612730733,42.94268024673268,-78.866956259167,33,11646
dpxv4v,23167,9363,13804,23.675311434367956,43.095859655199206,-78.97402233944433,34,10909
dpxgzz,21129,9326,11803,25.7203312982159,42.88739849784603,-78.75455020158138,34,9501
dpxum7,23480,9279,14201,22.702503833049615,42.9532779541751,-78.86769884612457,35,10570
dr8h2s,21100,9267,11833,26.152757819905514,42.957414138101356,-78.72404828369639,33,9465
dr8589,21490,9246,12244,30.933736621684428,42.811274654770926,-78.72220180688205,34,9371
dr8hb4,22264,9198,13066,28.588432165319055,43.034724231670374,-78.74737711309812,33,9522
dr8h1j,21432,9140,12292,24.313019316909408,42.919091615856644,-78.69839026609786,33,10354
dr8h84,25120,9079,16041,25.48676353503193,42.99123680991331,-78.74090750748688,33,12116
dpxgvp,28138,9052,19086,19.496001137252417,42.887625802082745,-78.87649329558029,33,12832
dpxuqv,20157,9047,11110,24.300410279307535,42.96396941127121,-78.8014333191908,34,8747
dpxgxp,22157,8997,13160,28.44157241503845,42.842581523082764,-78.7882260988904,33,10143
dpxgrk,19807,8981,10826,31.42827182309297,42.781521770991915,-78.78003049775714,34,8533
dpxurf,22054,8975,13079,25.69590278407569,42.94928530276038,-78.75629477061395,34,10482
dr8h94,18665,8951,9714,30.784043396731896,42.99187097872988,-78.69720041971438,34,9413
dpxuku,23080,8845,14235,24.235256065858007,42.959188270925395,-78.88771253704323,33,9901
dpxumk,23485,8826,14659,20.57537832659148,42.95866242963449,-78.86838207442837,33,11322
dpxumh,22342,8807,13535,21.32935681675777,42.9584045465911,-78.87672722347371,33,10558
dpxgr8,17008,8803,8205,29.856229421448994,42.76361305503271,-78.76437809883532,32,7115
dpxgr5,24090,8800,15290,28.749137816521717,42.77813852793868,-78.78940549108106,32,11009
dr8h1s,22077,8785,13292,28.335622140689537,42.91513092897718,-78.67965760161663,33,9476
dpxum9,26041,8782,17259,21.17668637917137,42.94257798045367,-78.85316116216781,33,12094
dr85c4,23482,8752,14730,29.00518524827545,42.86004145920448,-78.69706114896643,33,11295
dr8591,18188,8722,9466,30.101220585001407,42.81236066945341,-78.69825191989182,33,7582
dpxgjz,16435,8693,7742,31.02880316397935,42.75526961021983,-78.84401822804429,33,6801
dpxupw,17781,8584,9197,28.745478319554778,42.92553773049743,-78.76564124335181,33,7709
dpxuy2,21350,8580,12770,25.43128103044534,43.02505700918127,-78.82216515667547,33,10297
dpxgwt,18308,8578,9730,21.254019554293308,42.83256709569602,-78.80935915212137,35,8500
dpxuvs,18744,8574,10170,25.05309379001308,43.0465201898753,-78.85346268923112,33,8275
dr8h0x,29787,8561,21226,28.63419276865762,42.93348483136922,-78.72181133041049,35,11819
dr8h19,21653,8556,13097,23.3794083960654,42.90019413199108,-78.67850247416096,34,10488
dpxgq9,22806,8548,14258,25.996026484258657,42.76901993659563,-78.8125006372418,34,10409
dpxgzj,17475,8543,8932,28.400852646638057,42.87614305693889,-78.78549004491649,33,7407
dpxumm,17212,8540,8672,19.053699163374525,42.96472202887486,-78.86807910829495,32,8241
dpxujm,21093,8461,12632,20.86128194187672,42.92143880477123,-78.86665546565389,32,9811
dpxgxg,17909,8452,9457,28.42499134513398,42.82074943441969,-78.75294289742195,33,8264
dpxups,16024,8431,7593,30.32161070893662,42.91534837119425,-78.76509479636987,32,7174
dpxux1,19616,8420,11196,27.769432606036034,42.98831002294233,-78.79058051381584,35,8681
dpxumu,18843,8400,10443,21.824938704028128,42.9593953241508,-78.84260911802777,34,8796
dr8h15,27827,8397,19430,26.472257879038658,42.91168917741461,-78.69745205383487,33,13911
dpxgvq,22907,8370,14537,22.444131488191523,42.8825672600948,-78.8685016562182,32,9526
dpxgxj,19691,8360,11331,25.251634249149646,42.83457437560234,-78.78762973789756,35,9597
dpxum5,17399,8334,9065,22.145325593425206,42.95439558664382,-78.87744527862978,33,8286
dpxume,19278,8301,10977,22.42058667911614,42.95341308590102,-78.85698369166234,33,8064
dpxgm6,18690,8292,10398,30.117938469770305,42.77269551610594,-78.86296375714588,33,7801
dpxv9e,16346,8280,8066,24.85933255842414,43.17300807231142,-79.03183082063119,32,7291
dpxuq6,17597,8249,9348,22.37139682900496,42.94838516531154,-78.82171544405524,32,6931
dpxum6,20668,8220,12448,22.3540850590285,42.94784460828559,-78.86706568908595,33,10348
dpxuwh,15558,8189,7369,23.590058490808772,43.00263621005128,-78.83360649846387,33,6752
dpxump,20054,8177,11877,24.851724344270792,42.97519313967217,-78.87461354882068,32,9528
dr85bg,23791,8151,15640,25.042088604934584,42.86772343592325,-78.70913354142179,34,11677
dpxutf,22265,8144,14121,21.44213833370769,42.99169073173191,-78.84250975558149,33,10913
