hour_key,wiper_on,wiper_off,wiper_total,rain_ratio,is_rainy,avg_temp,min_temp,max_temp,is_cold,is_freezing
2022-10-02 03,4,0,5,0.8,True,13.468520220588236,10.5,22.0,False,False
2022-10-02 04,4,1,5,0.8,True,13.747123360984746,12.0,20.5,False,False
2022-10-02 05,2,0,4,0.5,True,13.108695652173912,10.5,33.5,False,False
2022-10-02 06,22,2,30,0.7333333333333333,True,12.090221047573282,8.5,32.0,False,False
2022-10-02 07,42,0,47,0.8936170212765957,True,11.205613382899628,7.5,20.0,False,False
2022-10-02 08,69,1,90,0.7666666666666667,True,10.596266457064257,8.0,22.5,False,False
2022-10-02 09,148,15,189,0.783068783068783,True,10.644218914105666,7.5,26.5,False,False
2022-10-02 10,156,9,196,0.7959183673469388,True,11.217231702939928,7.5,29.0,False,False
2022-10-02 11,204,8,261,0.7816091954022989,True,12.33273063977277,8.0,27.0,False,False
2022-10-02 12,253,26,353,0.71671388101983,True,13.717489044743031,9.0,42.0,False,False
2022-10-02 13,130,13,172,0.7558139534883721,True,14.536398039047045,10.0,36.0,False,False
2022-10-02 14,112,13,144,0.7777777777777778,True,15.08136803874092,9.5,27.5,False,False
2022-10-02 15,82,7,108,0.7592592592592593,True,14.976715107393925,9.0,30.0,False,False
2022-10-02 16,128,2,168,0.7619047619047619,True,14.643564710510317,9.5,31.5,False,False
2022-10-02 17,163,13,207,0.7874396135265701,True,13.90038776528133,8.5,27.5,False,False
2022-10-02 18,106,12,156,0.6794871794871795,True,12.72824803550344,7.5,35.0,False,False
2022-10-02 19,95,15,137,0.6934306569343066,True,10.667148003229613,5.5,26.5,False,False
2022-10-02 20,58,3,74,0.7837837837837838,True,9.11098304390144,4.0,20.5,False,False
2022-10-02 21,35,6,53,0.660377358490566,True,8.16728023704768,2.5,20.0,False,False
2022-10-02 22,13,5,21,0.6190476190476191,True,7.280336029869321,1.5,20.5,False,False
2022-10-02 23,26,11,47,0.5531914893617021,True,6.810356498194946,2.0,15.5,False,False
2022-10-03 00,4,2,9,0.4444444444444444,True,6.596510359869138,2.0,16.0,False,False
2022-10-03 01,8,5,21,0.38095238095238093,True,6.143717728055077,0.5,10.5,False,False
2022-10-03 02,1,0,3,0.3333333333333333,True,5.014508928571429,0.0,21.5,False,False
